rank,title,year,duration,rating,votes,scraped_date
126,Requiem for a Dream,2000,102 min,8.3,974.7K,20260602
127,Toy Story 3,2010,103 min,8.3,971.4K,20260602
128,Amélie,2001,122 min,8.3,840.7K,20260602
129,Heat,1995,170 min,8.3,805.0K,20260602
130,2001: A Space Odyssey,1968,149 min,8.3,784.1K,20260602
131,Oldboy,2003,120 min,8.3,720.3K,20260602
132,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,8.3,551.2K,20260602
133,Princess Mononoke,1997,133 min,8.3,484.0K,20260602
134,The Hunt,2012,115 min,8.3,410.4K,20260602
135,Once Upon a Time in America,1984,229 min,8.3,408.7K,20260602
136,North by Northwest,1959,136 min,8.3,369.2K,20260602
137,Lawrence of Arabia,1962,227 min,8.3,342.0K,20260602
138,Project Hail Mary,2026,156 min,8.3,332.5K,20260602
139,Das Boot,1981,149 min,8.3,288.1K,20260602
140,Singin' in the Rain,1952,103 min,8.3,283.0K,20260602
141,A Separation,2011,123 min,8.3,278.1K,20260602
142,Incendies,2010,131 min,8.3,251.9K,20260602
143,Dangal,2016,161 min,8.3,243.7K,20260602
144,Like Stars on Earth,2007,162 min,8.3,232.7K,20260602
145,The Apartment,1960,125 min,8.3,219.7K,20260602
146,M,1931,99 min,8.3,183.0K,20260602
147,Double Indemnity,1944,107 min,8.3,181.6K,20260602
148,Dhurandhar,2025,214 min,8.3,141.1K,20260602
149,Hamilton,2020,160 min,8.3,139.7K,20260602
150,Dil Bechara,2020,101 min,8.3,137.8K,20260602
151,Shershaah,2021,135 min,8.3,136.6K,20260602
152,Come and See,1985,142 min,8.3,123.4K,20260602
153,Ikiru,1952,143 min,8.3,102.5K,20260602
154,Judgment at Nuremberg,1961,179 min,8.3,97.1K,20260602
155,Vikram,2022,175 min,8.3,89.7K,20260602
156,Maharaja,2024,141 min,8.3,82.4K,20260602
157,Chhichhore,2019,143 min,8.3,72.9K,20260602
158,Lost Ladies,2023,122 min,8.3,60.2K,20260602
159,Ratsasan,2018,146 min,8.3,59.9K,20260602
160,Chainsaw Man - The Movie: Reze Arc,2025,100 min,8.3,57.7K,20260602
161,Dhurandhar: The Revenge,2026,235 min,8.3,56.8K,20260602
162,Sardar Udham,2021,164 min,8.3,50.8K,20260602
163,Man with a Movie Camera,1929,68 min,8.3,30.4K,20260602
164,Hoop Dreams,1994,170 min,8.3,29.6K,20260602
165,Premam,2015,156 min,8.3,28.4K,20260602
166,Bangalore Days,2014,171 min,8.3,28.2K,20260602
167,Won't You Be My Neighbor?,2018,95 min,8.3,28.1K,20260602
168,Hi Nanna,2023,155 min,8.3,26.5K,20260602
169,The Wolf of Wall Street,2013,180 min,8.2,1.8M,20260602
170,Batman Begins,2005,140 min,8.2,1.7M,20260602
171,Shutter Island,2010,138 min,8.2,1.7M,20260602
172,The Truman Show,1998,103 min,8.2,1.4M,20260602
173,Kill Bill: Vol. 1,2003,111 min,8.2,1.3M,20260602
174,Finding Nemo,2003,100 min,8.2,1.2M,20260602
175,No Country for Old Men,2007,122 min,8.2,1.2M,20260602
176,Jurassic Park,1993,127 min,8.2,1.2M,20260602
177,The Sixth Sense,1999,107 min,8.2,1.1M,20260602
178,A Beautiful Mind,2001,135 min,8.2,1.1M,20260602
