rank,title,year,duration,rating,votes,scraped_date
102,Scarface,N/A,N/A,8.3, (1M,20260602
103,Reservoir Dogs,N/A,N/A,8.3, (1.2M,20260602
104,2001: A Space Odyssey,N/A,N/A,8.3, (784K,20260602
105,Up,N/A,N/A,8.3, (1.2M,20260602
106,Double Indemnity,N/A,N/A,8.3, (182K,20260602
107,North by Northwest,N/A,N/A,8.3, (369K,20260602
108,Like Stars on Earth,N/A,N/A,8.3, (233K,20260602
109,Full Metal Jacket,N/A,N/A,8.2, (851K,20260602
110,M,N/A,N/A,8.3, (183K,20260602
111,Amélie,N/A,N/A,8.3, (841K,20260602
112,A Separation,N/A,N/A,8.3, (278K,20260602
113,Citizen Kane,N/A,N/A,8.2, (493K,20260602
114,Vertigo,N/A,N/A,8.2, (459K,20260602
115,Die Hard,N/A,N/A,8.2, (1M,20260602
116,To Kill a Mockingbird,N/A,N/A,8.2, (351K,20260602
117,Indiana Jones and the Last Crusade,N/A,N/A,8.2, (864K,20260602
118,The Sting,N/A,N/A,8.2, (302K,20260602
119,A Clockwork Orange,N/A,N/A,8.2, (937K,20260602
120,Metropolis,N/A,N/A,8.2, (201K,20260602
121,I Swear,N/A,N/A,8.4, (47K,20260602
122,1917,N/A,N/A,8.2, (773K,20260602
123,Snatch,N/A,N/A,8.2, (977K,20260602
124,The Wolf of Wall Street,N/A,N/A,8.2, (1.8M,20260602
125,Downfall,N/A,N/A,8.2, (401K,20260602
126,The Truman Show,N/A,N/A,8.2, (1.4M,20260602
128,Project Hail Mary,N/A,N/A,8.3, (335K,20260602
129,Dangal,N/A,N/A,8.3, (244K,20260602
130,Bicycle Thieves,N/A,N/A,8.2, (192K,20260602
131,Shutter Island,N/A,N/A,8.2, (1.7M,20260602
132,Green Book,N/A,N/A,8.2, (688K,20260602
133,Oppenheimer,N/A,N/A,8.2, (1M,20260602
134,Judgment at Nuremberg,N/A,N/A,8.3, (97K,20260602
135,Batman Begins,N/A,N/A,8.2, (1.7M,20260602
136,Jurassic Park,N/A,N/A,8.2, (1.2M,20260602
137,Hamilton,N/A,N/A,8.3, (140K,20260602
138,For a Few Dollars More,N/A,N/A,8.2, (300K,20260602
139,Taxi Driver,N/A,N/A,8.2, (1M,20260602
140,Some Like It Hot,N/A,N/A,8.2, (305K,20260602
141,There Will Be Blood,N/A,N/A,8.2, (710K,20260602
142,Attack on Titan: The Last Attack,N/A,N/A,9.0, (30K,20260602
143,The Father,N/A,N/A,8.2, (246K,20260602
144,The Kid,N/A,N/A,8.2, (146K,20260602
145,All About Eve,N/A,N/A,8.2, (149K,20260602
146,The Sixth Sense,N/A,N/A,8.2, (1.1M,20260602
147,Ran,N/A,N/A,8.2, (152K,20260602
148,Casino,N/A,N/A,8.2, (621K,20260602
149,No Country for Old Men,N/A,N/A,8.2, (1.2M,20260602
150,The Thing,N/A,N/A,8.2, (527K,20260602
151,Prisoners,N/A,N/A,8.2, (938K,20260602
152,Top Gun: Maverick,N/A,N/A,8.2, (875K,20260602
154,Pan's Labyrinth,N/A,N/A,8.2, (747K,20260602
155,Unforgiven,N/A,N/A,8.2, (469K,20260602
156,A Beautiful Mind,N/A,N/A,8.2, (1.1M,20260602
157,Howl's Moving Castle,N/A,N/A,8.2, (513K,20260602
158,The Treasure of the Sierra Madre,N/A,N/A,8.2, (142K,20260602
159,Finding Nemo,N/A,N/A,8.2, (1.2M,20260602
160,Klaus,N/A,N/A,8.2, (238K,20260602
161,Yojimbo,N/A,N/A,8.2, (143K,20260602
162,The Elephant Man,N/A,N/A,8.2, (282K,20260602
163,The Great Escape,N/A,N/A,8.2, (278K,20260602
164,Monty Python and the Holy Grail,N/A,N/A,8.1, (604K,20260602
165,Demon Slayer: Kimetsu No Yaiba Infinity Castle,N/A,N/A,8.4, (72K,20260602
166,Dial M for Murder,N/A,N/A,8.1, (205K,20260602
167,The Secret in Their Eyes,N/A,N/A,8.2, (243K,20260602
168,Gone with the Wind,N/A,N/A,8.2, (356K,20260602
169,"Lock, Stock and Two Smoking Barrels",N/A,N/A,8.1, (650K,20260602
170,Chinatown,N/A,N/A,8.1, (377K,20260602
171,The Best of Youth,N/A,N/A,8.4, (28K,20260602
172,V for Vendetta,N/A,N/A,8.1, (1.2M,20260602
173,Catch Me If You Can,N/A,N/A,8.1, (1.2M,20260602
174,Inside Out,N/A,N/A,8.1, (917K,20260602
175,Trainspotting,N/A,N/A,8.1, (769K,20260602
176,"Three Billboards Outside Ebbing, Missouri",N/A,N/A,8.1, (609K,20260602
177,Rashomon,N/A,N/A,8.1, (197K,20260602
178,Dead Poets Society,N/A,N/A,8.1, (655K,20260602
179,The Bridge on the River Kwai,N/A,N/A,8.1, (249K,20260602
180,Harry Potter and the Deathly Hallows: Part 2,N/A,N/A,8.1, (1M,20260602
181,The Wild Robot,N/A,N/A,8.2, (226K,20260602
182,Barry Lyndon,N/A,N/A,8.1, (205K,20260602
183,Warrior,N/A,N/A,8.1, (529K,20260602
184,Ben-Hur,N/A,N/A,8.1, (272K,20260602
185,Fargo,N/A,N/A,8.1, (788K,20260602
186,Million Dollar Baby,N/A,N/A,8.1, (767K,20260602
187,Mad Max: Fury Road,N/A,N/A,8.1, (1.2M,20260602
188,Hacksaw Ridge,N/A,N/A,8.1, (683K,20260602
189,Children of Heaven,N/A,N/A,8.2, (90K,20260602
190,Raging Bull,N/A,N/A,8.1, (411K,20260602
191,My Neighbor Totoro,N/A,N/A,8.1, (432K,20260602
192,Gran Torino,N/A,N/A,8.1, (863K,20260602
193,Ratatouille,N/A,N/A,8.1, (946K,20260602
194,12 Years a Slave,N/A,N/A,8.1, (788K,20260602
195,The Grand Budapest Hotel,N/A,N/A,8.1, (973K,20260602
196,Memories of Murder,N/A,N/A,8.1, (268K,20260602
197,Before Sunrise,N/A,N/A,8.1, (378K,20260602
198,How to Train Your Dragon,N/A,N/A,8.1, (896K,20260602
199,Blade Runner,N/A,N/A,8.1, (882K,20260602
200,"Monsters, Inc.",N/A,N/A,8.1, (1.1M,20260602
201,Gone Girl,N/A,N/A,8.1, (1.2M,20260602
202,Spider-Man: No Way Home,N/A,N/A,8.1, (1M,20260602
203,Jaws,N/A,N/A,8.1, (739K,20260602
204,Ford v Ferrari,N/A,N/A,8.1, (573K,20260602
205,In the Name of the Father,N/A,N/A,8.1, (203K,20260602
206,Wild Tales,N/A,N/A,8.1, (239K,20260602
207,The Gold Rush,N/A,N/A,8.1, (128K,20260602
208,The Chaos Class Failed the Class,N/A,N/A,8.4, (31K,20260602
209,Sherlock Jr.,N/A,N/A,8.1, (66K,20260602
210,Mary and Max,N/A,N/A,8.1, (202K,20260602
211,The Deer Hunter,N/A,N/A,8.1, (387K,20260602
212,The Wages of Fear,N/A,N/A,8.1, (74K,20260602
213,The General,N/A,N/A,8.1, (105K,20260602
214,Rocky,N/A,N/A,8.1, (690K,20260602
215,Logan,N/A,N/A,8.1, (928K,20260602
217,Pirates of the Caribbean: The Curse of the Black Pearl,N/A,N/A,8.1, (1.3M,20260602
218,A Silent Voice: The Movie,N/A,N/A,8.2, (143K,20260602
219,Tokyo Story,N/A,N/A,8.1, (78K,20260602
220,Chainsaw Man - The Movie: Reze Arc,N/A,N/A,8.3, (58K,20260602
221,On the Waterfront,N/A,N/A,8.1, (178K,20260602
222,La haine,N/A,N/A,8.1, (227K,20260602
223,Spotlight,N/A,N/A,8.1, (536K,20260602
224,Wild Strawberries,N/A,N/A,8.1, (125K,20260602
225,The Sound of Music,N/A,N/A,8.1, (292K,20260602
226,Maharaja,N/A,N/A,8.3, (82K,20260602
227,The Terminator,N/A,N/A,8.1, (1M,20260602
228,Jai Bhim,N/A,N/A,8.6, (234K,20260602
229,The Third Man,N/A,N/A,8.1, (196K,20260602
230,The Best Years of Our Lives,N/A,N/A,8.1, (77K,20260602
231,The Big Lebowski,N/A,N/A,8.1, (917K,20260602
232,Before Sunset,N/A,N/A,8.1, (316K,20260602
233,Room,N/A,N/A,8.1, (481K,20260602
234,The Incredibles,N/A,N/A,8.0, (903K,20260602
235,The Seventh Seal,N/A,N/A,8.1, (216K,20260602
236,Hachi: A Dog's Tale,N/A,N/A,8.1, (343K,20260602
237,Hotel Rwanda,N/A,N/A,8.1, (392K,20260602
238,Platoon,N/A,N/A,8.1, (472K,20260602
239,The Exorcist,N/A,N/A,8.1, (499K,20260602
240,The Iron Giant,N/A,N/A,8.1, (261K,20260602
241,Rush,N/A,N/A,8.1, (560K,20260602
242,The Wizard of Oz,N/A,N/A,8.1, (468K,20260602
243,Stand by Me,N/A,N/A,8.1, (488K,20260602
244,My Father and My Son,N/A,N/A,8.2, (101K,20260602
245,The Battle of Algiers,N/A,N/A,8.1, (76K,20260602
246,The Passion of Joan of Arc,N/A,N/A,8.1, (68K,20260602
247,The Handmaiden,N/A,N/A,8.1, (204K,20260602
248,Network,N/A,N/A,8.1, (186K,20260602
250,Drishyam 2,N/A,N/A,8.4, (45K,20260602
